id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
10177,France,"Shows a bit of struck match character on the nose, but nothing that a quick splash decanting won't solve. Once past that, this 50-50 blend of Grenache and Syrah displays a lively mix of herbs and cherries, supple tannins and a long, easygoing finish.",Le Domaine,87,17.0,Rhône Valley,Ventoux,,Joe Czerwinski,@JoeCz,Le Grand Vallat 2009 Le Domaine Red (Ventoux),Rhône-style Red Blend,Le Grand Vallat
41284,Germany,"Representing a bit of a chink in von Kesselstatt's impressive array of 2009s, this wine features slightly restrained notes of pineapple and green apple in a slightly uneasy alliance of sweet and sour. Drink up.",Piesporter Goldtröpfchen Kabinett,86,30.0,Mosel,,,Joe Czerwinski,@JoeCz,Reichsgraf von Kesselstatt 2009 Piesporter Goldtröpfchen Kabinett Riesling (Mosel),Riesling,Reichsgraf von Kesselstatt
23997,Spain,"This five-grape blend is harmonious, with aromas of sweet spice, ripe berry, cherry, licorice and mineral. It's racy, deep and powerful, with dark berry, black plum and oaky, spicy flavors. It's long, elegant and potent on the finish. Drink through 2018.",Grans Muralles,92,109.0,Catalonia,Penedès,,Michael Schachner,@wineschach,Torres 2007 Grans Muralles Red (Penedès),Red Blend,Torres
79187,US,"This bold, full-bodied white is a nifty showcase of Pinot Gris's unique duality. On the nose, it seems quite spry and cutting, wafting of crushed minerals, crisp green-apple skins and blossoms. The palate, however, is weighty and mouth filling, a testament to 30 days of maturation on its lees. It maintains its fresh, fruity flair and pleasantly sunny citrus acidity.",,88,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Damiani 2015 Pinot Grigio (Finger Lakes),Pinot Grigio,Damiani
12038,US,"Full-bodied, structured and leathery, it's characterized by a combination of plum and gamy meat, accented by a taste of black olive tapenade. It finishes smooth and toasty.",Fleur de Veeder,90,40.0,California,Mount Veeder,Napa,Virginie Boone,@vboone,Yates Family Vineyard 2010 Fleur de Veeder Merlot (Mount Veeder),Merlot,Yates Family Vineyard
2158,Portugal,"This wine is ripe with red fruits and soft tannins. It is smooth, packed with red-berry flavors lifted by the acidity. Made to be drunk young, it is ready now.",Pinta Negra Tinto,84,9.0,Lisboa,,,Roger Voss,@vossroger,Adega Mãe 2015 Pinta Negra Tinto Red (Lisboa),Portuguese Red,Adega Mãe
85976,US,"An exotic Chardonnay, this is reminiscent of a Rhône white wine, with its honeysuckle, mineral, apricot, tangerine and sautéed banana flavors. It's certainly savory. Don't drink it too cold.",Windsor Oaks Vineyard,88,30.0,California,Russian River Valley,Sonoma,,,Stark 2009 Windsor Oaks Vineyard Chardonnay (Russian River Valley),Chardonnay,Stark
102338,Italy,"Earthy aromas of tilled soil, bell pepper, ripe plum and a whiff of barnyard waft out of the glass. The palate is a bit rustic, displaying fig, ground black pepper, graphite and a gamey note alongside velvety tannins. Drink soon.",Principe,88,30.0,Tuscany,Cortona,,Kerin O’Keefe,@kerinokeefe,Stefania Mezzetti 2012 Principe Syrah (Cortona),Syrah,Stefania Mezzetti
79815,US,"Don't be deterred by this wine's unusual, brassy and cloudy appearance; it has fantastic doughy, floral and apricot aromas and flavors and a welcome sense of richness and length. Bracing acidity kicks in on the midpalate, along with a hint of tannin and texture. Best after 2019, and decanting is recommended.",The Gadabout,89,20.0,California,California,California Other,Jim Gordon,@gordone_cellars,Donkey & Goat 2016 The Gadabout White (California),White Blend,Donkey & Goat
4478,US,"This wine is a blend of Cabernet Sauvignon (80%), Malbec (12%) and Merlot. The aromas draw you into the glass, with notes of poblano, herb, spice, vanilla and cherry. The palate displays a mixture of fruit and barrel, with tightly wound tannins and bright acidity heightening the interest.",Primo Volo,91,48.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Aluvé 2012 Primo Volo Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Aluvé
85570,France,"A firm and solid wine, tightly packed with tannins, black berry fruits and a dense structure. Laurence is Laurence Helfrich whose family owns the chateau. The wine could age for several years, but will be ready to drink in 2014.",Cuvée Laurence H.,87,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château du Bois Chantant 2010 Cuvée Laurence H.  (Bordeaux Supérieur),Bordeaux-style Red Blend,Château du Bois Chantant
23977,US,"Restrained and elegant, this deeply flavored Pinot Noir takes a masculine turn with threads of iron filings, earth and herb. The blueberry and plum fruit flavors are set against drying tannins. As with all Archery Summit Pinots, the length and balance are outstanding.",Arcus Estate,93,100.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Archery Summit 2011 Arcus Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
80574,US,"While delicate in frame, layers of exotic spice and vanilla amidst creamy peach and tangerine flavors lend flamboyance to this Chardonnay. It's forward and a bit oaky, but finishes vibrantly and briskly.",Barrel Fermented,87,15.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Wagner 2014 Barrel Fermented Chardonnay (Finger Lakes),Chardonnay,Wagner
14247,Italy,"A blend of Nero d'Avola, Cabernet Sauvignon, Merlot and Syrah, this is bright and fresh, with an easy-drinking approach. Cherry, blackberry and spice give it a full and lively personality.",Sedàra,88,15.0,Sicily & Sardinia,Sicilia,,,,Donnafugata 2010 Sedàra Red (Sicilia),Red Blend,Donnafugata
88988,US,"The mighty partnership between the Hyde and de Villaine families shows maturity in this vineyard-designated wine, from the Hyde's well-respected site. Ripe golden pear delivers a richness to the palate that is offset by floral minerality and a pleasant texture of citrus and spice.",Hyde Vineyard,90,66.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,HdV 2011 Hyde Vineyard Chardonnay (Carneros),Chardonnay,HdV
110604,France,"The heavy bottle signals this is statement rosé. It's certainly rich, full in the mouth with spice, acidity and tangerine flavors mingling well together. The wine is deliciously textured and could do with some more aging. Drink from the end of 2015.",Ikon,90,35.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Hermitage Saint-Martin 2014 Ikon Rosé (Côtes de Provence),Rosé,Château Hermitage Saint-Martin
20683,France,"This is a fruity wine with juicy acids and fresh black-currant and berry flavors. The tannins are present, but they are well integrated into the fruit and acidity. It's bright and ready to drink.",Château Lafleur de Haute-Serre,87,16.0,Southwest France,Cahors,,Roger Voss,@vossroger,Georges Vigouroux 2010 Château Lafleur de Haute-Serre Malbec (Cahors),Malbec,Georges Vigouroux
52180,Italy,"This is just what a Barbera should be: delicious, easy to drink and ready now. The palate delivers mouthfuls of black cherry, spice and licorice, balanced by fresh acidity and a silky-smooth texture. Pair this with virtually anything. Imported by Masciarelli Wine Co, Moonlight Wine Co.",,90,25.0,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Giacomo Fenocchio 2011  Barbera d'Alba Superiore,Barbera,Giacomo Fenocchio
10932,US,"Winemaker Paul Clifton excelled in this vintage, finding the balance between the region's ripe fruit, natural acidity and powerful spice. Baked black cherry, hibiscus, earth, gingerbread and cola notes show on the nose. The palate is creamy and lush, but the acidity is persistent, carrying its dark red fruit and minty chocolate flavors into the finish.",Hook Vineyard,93,50.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Lucienne 2015 Hook Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Lucienne
4425,Italy,"This wine's prune, menthol, tobacco and grilled herb aromas carry over to its bracing palate, along with dried black cherry and licorice hints. Assertive, tight-knit tannins grip the finish. Drink after 2020.",Basarin Riserva,89,,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Adriano Marco & Vittorio 2012 Basarin Riserva  (Barbaresco),Nebbiolo,Adriano Marco & Vittorio
38555,France,"This is a light, citrus-fruit dominated wine. It has attractive fruitiness, tang and zest, and its acidity is crisp and refreshing. Apples and green fruits add a little richness at the end. Screwcap.",Vieilles Vignes Sur Lie,89,16.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Château de la Ragotiere 2011 Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Melon,Château de la Ragotiere
66376,New Zealand,"Builds complexity through skillful layering of ripe black cherries, fresh greens (ferns or parsley stems), leather and earth. The mouthfeel is spot-on, rich and plush without seeming heavy. Tart cherry and dusty cocoa notes on the finish and a fine sense of balance make it drinkable now or in several years.",,90,24.0,Marlborough,,,Joe Czerwinski,@JoeCz,Huia 2000 Pinot Noir (Marlborough),Pinot Noir,Huia
81952,US,"Black-cherry and plum aromas are lush and ripe on the nose of this Hudson River Cab Franc. The palate, however, suggests a more elegant restraint, nuanced by hints of peppery greens and herbs. The long sleek finish is framed in fine, velvety tannins.",Proprietor's Special Reserve,89,35.0,New York,Hudson River Region,New York Other,Anna Lee C. Iijima,,Millbrook 2014 Proprietor's Special Reserve Cabernet Franc (Hudson River Region),Cabernet Franc,Millbrook
32310,Spain,"Dusty black cherry and raspberry aromas are true to the variety, and the buttery quality on the palate adds weight and vanilla to the berry and cassis flavors. Overall this is a structured, fairly oaky wine with firm tannins and a toasty finish. Will go well with steak.",Estate Bottled,88,45.0,Central Spain,Dominio de Valdepusa,,Michael Schachner,@wineschach,Marques de Griñon 2003 Estate Bottled Cabernet Sauvignon (Dominio de Valdepusa),Cabernet Sauvignon,Marques de Griñon
75316,US,"Cherry, licorice, stemmy spice, turned earth and Earl Grey tea elements show on the nose of this wine from a vineyard west of the Sta. Rita Hills and only six miles from the Pacific Ocean. It's light in body, with flavors of thyme, pepper spice, kalamata olive and cranberry fruit proving tart and tight.",Duvarita Vineyard,90,55.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Storm 2013 Duvarita Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,Storm
12925,France,"The bishop's (Evêque) vineyard has produced a stylish, full-flavored wine, densely packed with black cherry, ripe tannins and a juicy, fruity character. It is a dense wine with tannins that promise good aging. Drink from 2016.",Château de Chamirey Clos l'Evêque Premier Cru,91,,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2011 Château de Chamirey Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,Domaines Devillard
118681,US,"This wine has little to do with Marsanne. It's all about oak, with vanilla bean, buttered toast and caramel flavors.",Alta Colina Vineyard,83,40.0,California,Paso Robles,Central Coast,,,Summerwood 2010 Alta Colina Vineyard Marsanne (Paso Robles),Marsanne,Summerwood
85303,US,Plump lusciously ripe black plum and cherry flavors are offset by a tantalizing edge of acidity and fine penetrating tannins in this neatly composed Malbec. It's supple and full in body yet refreshing and brisk. Drinks well already but should continue to improve through 2021.,,90,35.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Harbes Family Vineyard 2014 Malbec (North Fork of Long Island),Malbec,Harbes Family Vineyard
11938,France,"Here's a wine that, while expressing the structure of the vintage, brings warmth and a rich blackberry flavor as well. It has a fine texture and a firm, upright feel. Ready for drinking in a year.",,85,7.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Kirkland Signature 2010  Bordeaux Supérieur,Bordeaux-style Red Blend,Kirkland Signature
